Reg.code;Region;FO;Y.Srmonpop.2014;VRPpop.2014;ORTpop.2014;RKBSsocial.2013;NumSmEnt.2014
1000;Российская Федеpация;NA;25928;49919959;180410;1312,5;144
1001;Центpальный ФО;ЦФО;33467;17433051;231873;NA;147
31;Белгородская область;ЦФО;23735;546151;164079;7843,7;157
32;Бpянская область;ЦФО;20152;209824;158501;7281,2;100
33;Владимиpская область;ЦФО;18796;285623;129564;8939,9;131
36;Воронежская область;ЦФО;22056;568613;181499;13890,4;100
37;Ивановская область;ЦФО;18123;136512;138185;7047,7;198
40;Калужская область;ЦФО;23182;288476;161623;7527,5;135
44;Костpомская область;ЦФО;17575;131622;114959;4140,5;102
46;Курская область;ЦФО;20809;253831;146850;7700,4;94
48;Липецкая область;ЦФО;22222;294863;171096;6759,4;127
50;Московская область;ЦФО;32739;2440283;220314;69160,5;107
57;Оpловская область;ЦФО;18262;146140;131430;5403,4;102
62;Рязанская область;ЦФО;19828;247219;140026;7315,5;149
67;Смоленская область;ЦФО;19982;201311;150008;6844,8;138
68;Тамбовская область;ЦФО;19834;203267;157556;6897,9;82
69;Твеpская область;ЦФО;19106;267639;153135;9693,4;130
71;Тульская область;ЦФО;20903;309295;152864;11889,3;137
76;Яpославская область;ЦФО;21127;324572;149623;10376,9;172
77;г. Москва;ЦФО;54869;10577810;365089;252467,5;201
1002;Севеpо-Западный ФО;СЗФО;26167;5258822;172438;NA;240
10;Республика Каpелия;СЗФО;21494;162003;153651;7410,4;146
11;Республика Коми;СЗФО;29335;480764;181937;9685,6;150
83;Ненецкий автономный округ;СЗФО;66276;163679;178374;1206,3;103
29;Архангельская область без АО;СЗФО;24775;304942;176420;12348,1;124
35;Вологодская область;СЗФО;20513;356071;125014;10403,1;105
39;Калининградская область;СЗФО;20642;264622;136627;5369;225
47;Ленингpадская область;СЗФО;20161;673916;156780;12728,7;112
51;Муpманская область;СЗФО;32912;280326;196946;10683,7;77
53;Новгоpодская область;СЗФО;21392;172315;155324;5719,9;155
60;Псковская область;СЗФО;17804;108191;144799;5471,2;127
78;г. Санкт-Петеpбуpг;СЗФО;31407;2291993;197144;47846,4;419
1003;Южный ФО;ЮФО;21842;3163238;171997;NA;115
1;Республика Адыгея;ЮФО;18512;65236;164975;2283,7;88
8;Республика Калмыкия;ЮФО;11311;34017;62779;1514,9;39
23;Краснодарский край;ЮФО;25777;1438472;196892;32212,3;115
30;Астраханская область;ЮФО;19777;211330;162393;6528,2;98
34;Волгоградская область;ЮФО;17590;573903;126856;16042,4;112
61;Ростовская область;ЮФО;20995;840280;177702;32273,8;128
