Reg.code;Region;FO;Y.Srmonpop.2014;VRPpop.2014;ORTpop.2014;RKBSsocial.2013;NumSmEnt.2014
1000;Российская Федеpация;NA;27767;403178,9;180410;1312,5;144
1001;Центpальный ФО;ЦФО;34970;535430,5;231873;NA;147
31;Белгородская область;ЦФО;25372;400633,4;164079;7843,7;157
32;Бpянская область;ЦФО;22039;196341,9;158501;7281,2;100
33;Владимиpская область;ЦФО;20569;232630,7;129564;8939,9;131
36;Воронежская область;ЦФО;25505;304314,2;181499;13890,4;100
37;Ивановская область;ЦФО;20409;145234,7;138185;7047,7;198
40;Калужская область;ЦФО;24984;322517;161623;7527,5;135
44;Костpомская область;ЦФО;19320;223242,9;114959;4140,5;102
46;Курская область;ЦФО;23188;266007,6;146850;7700,4;94
48;Липецкая область;ЦФО;25263;341454,6;171096;6759,4;127
50;Московская область;ЦФО;34948;376698,6;220314;69160,5;107
57;Оpловская область;ЦФО;19981;234157,4;131430;5403,4;102
62;Рязанская область;ЦФО;21988;261245,2;140026;7315,5;149
67;Смоленская область;ЦФО;21788;242907,3;150008;6844,8;138
68;Тамбовская область;ЦФО;22377;258822;157556;6897,9;82
69;Твеpская область;ЦФО;20602;232832,9;153135;9693,4;130
71;Тульская область;ЦФО;23040;269177;152864;11889,3;137
76;Яpославская область;ЦФО;23876;305210,7;149623;10376,9;172
77;г. Москва;ЦФО;54504;1053949,8;365089;252467,5;201
1002;Севеpо-Западный ФО;СЗФО;28580;427922,9;172438;NA;240
10;Республика Каpелия;СЗФО;22939;293054,1;153651;7410,4;146
11;Республика Коми;СЗФО;30844;553836,2;181937;9685,6;150
83;Ненецкий автономный округ;СЗФО;66491;4252407,8;178374;1206,3;103
29;Архангельская область без АО;СЗФО;28033;311471,4;176420;12348,1;124
35;Вологодская область;СЗФО;22801;325789,3;125014;10403,1;105
39;Калининградская область;СЗФО;23117;316999,4;136627;5369;225
47;Ленингpадская область;СЗФО;20932;403431,2;156780;12728,7;112
51;Муpманская область;СЗФО;34149;416662,1;196946;10683,7;77
53;Новгоpодская область;СЗФО;23703;331842;155324;5719,9;155
60;Псковская область;СЗФО;19500;185525,8;144799;5471,2;127
78;г. Санкт-Петеpбуpг;СЗФО;34724;513782,4;197144;47846,4;419
1003;Южный ФО;ЮФО;24328;280342,3;171997;NA;115
1;Республика Адыгея;ЮФО;22054;174017,6;164975;2283,7;88
8;Республика Калмыкия;ЮФО;12398;163688,1;62779;1514,9;39
23;Краснодарский край;ЮФО;28788;330100,2;196892;32212,3;115
30;Астраханская область;ЮФО;22169;283591,2;162393;6528,2;98
34;Волгоградская область;ЮФО;19056;278961,2;126856;16042,4;112
61;Ростовская область;ЮФО;23355;235695,9;177702;32273,8;128
1004;Севеpо-Кавказский ФО;СКФО;20693;164905,9;139263;NA;55
5;Республика Дагестан;СКФО;23423;180824,4;171054;10434,2;23
6;Республика Ингушетия;СКФО;14346;113791,2;41805;2841,4;78
7;Кабардино-Балкарская Республика;СКФО;16619;137437,3;116477;3565,9;50
9;Карачаево-Черкесская Республика;СКФО;16109;147396,9;78422;3670,2;78
15;Республика Северная Осетия - Алания;СКФО;19820;179992,7;131840;3596;82
20;Чеченская Республика;СКФО;19788;104019,2;88310;9822,3;41
26;Ставропольский край;СКФО;21590;193489,4;165228;18229,4;84
1005;Приволжский ФО;ПФО;24020;308508,5;163193;NA;124
2;Республика Башкортостан;ПФО;25971;306771,3;191935;21535,7;102
12;Республика Маpий Эл;ПФО;16374;209488,1;106277;3568,3;138
13;Республика Моpдовия;ПФО;16134;210858,7;89808;5803,3;88
16;Республика Татарстан;ПФО;29830;434509,1;203038;21070,1;127
18;Удмуртская Республика;ПФО;21197;291287,5;129660;9047,2;143
21;Чувашская Республика;ПФО;16681;189736,4;106444;7847,1;128
59;Пермский край;ПФО;28315;367086,6;184849;20476,8;134
43;Киpовская область;ПФО;20329;191444,5;126231;9243,4;184
52;Нижегородская область;ПФО;27930;310866,4;190206;28352,1;109
56;Оренбургская область;ПФО;20724;364761,5;134482;15646,4;96
58;Пензенская область;ПФО;19601;219181,9;133259;8432;119
63;Самарская область;ПФО;26062;358648,8;194188;31162,8;146
64;Саратовская область;ПФО;17941;225374,5;120725;17301,4;124
73;Ульяновская область;ПФО;21541;220575,7;129143;10023,9;126
1006;Уральский ФО;УФО;30494;652935,4;198727;NA;163
45;Курганская область;УФО;18850;193434;117095;6347;84
66;Свердловская область;УФО;32157;384228,1;230949;34314,8;189
86;Ханты-Мансийский автономный округ Югра;УФО;41503;1761159;224038;26278,3;166
89;Ямало-Ненецкий автономный округ;УФО;61252;2985310,6;235512;17331,7;132
72;Тюменская область без АО;УФО;26509;521986,8;217731;17559,8;245
74;Челябинская область;УФО;23157;284190,7;154226;21762,5;120
1007;Сибирский ФО;СФО;21490;316380,1;139720;NA;156
4;Республика Алтай;СФО;17134;184011,4;97474;1573,1;106
3;Республика Бурятия;СФО;22326;189325,7;141496;7025;114
17;Республика Тыва;СФО;14083;149334,8;60063;3410,9;42
19;Республика Хакасия;СФО;18385;299913,3;123176;3572,7;126
22;Алтайский край;СФО;18434;187587,3;128376;15695;134
75;Забайкальский край;СФО;20520;209002,5;124928;9413,2;59
24;Красноярский край;СФО;24806;498372,4;171796;34618,8;187
38;Иркутская область;СФО;20224;375481,9;118287;19210,4;118
42;Кемеровская область;СФО;20193;273825,1;122765;19602,8;124
54;Новосибирская область;СФО;23110;326867,5;168581;22935,8;278
55;Омская область;СФО;24060;303088,5;158990;15759;155
70;Томская область;СФО;21549;399207,9;115052;8608,4;178
1008;Дальневосточный ФО;ДВФО;31974;518185,5;167755;NA;151
14;Республика Саха (Якутия);ДВФО;34205;690642,5;173477;19329,2;146
41;Камчатский край;ДВФО;37030;456481,5;143851;7129,6;163
25;Приморский край;ДВФО;28340;332383,3;147683;18334,4;164
27;Хабаровский край;ДВФО;31703;410190,4;178673;15636,6;154
28;Амурская область;ДВФО;26765;290398,1;163781;18176,4;99
49;Магаданская область;ДВФО;45846;650273,4;174694;2628,4;194
65;Сахалинская область;ДВФО;44690;1620312,5;250253;8904,6;188
79;Еврейская автономная область;ДВФО;21935;246449;117276;2904,1;94
87;Чукотский автономный округ;ДВФО;57310;1118861,7;102795;1681,4;75
1009;Крымская федеральная область;КФО;NA;NA;80958;NA;79
82;Республика Крым;КФО;NA;NA;79010;NA;68
92;г. Севастопль;КФО;NA;NA;90459;NA;132
